"i","BICreg","BICregf","SSTotal","SSreg","SSE","SSregf","SSEf"
2,379.765259388446,379.765259388446,63.2471132776586,0.187690717344573,63.059422560314,0.187690717344573,63.059422560314
3,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
4,340.338232044832,345.087393809748,63.2471132776586,9.52605731713962,53.721055960519,9.69093483320228,53.5561784444563
5,383.832970278732,389.338042774116,63.2471132776586,0.555134409222973,62.6919788684356,0.555200424491247,62.6919128531673
6,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
7,385.736280369704,390.362946298795,63.2471132776586,0.0682032345541401,63.1789100431044,0.293463852603509,62.9536494250551
8,385.444414339106,385.444414339106,63.2471132776586,0.143117230914534,63.1039960467441,0.143117230914534,63.1039960467441
9,383.480720793231,387.295708073773,63.2471132776586,0.644839345288474,62.6022739323701,1.07352497959127,62.1735882980673
10,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
11,353.747890283344,359.253044806568,63.2471132776586,7.77189311072819,55.4752201669304,7.77193302867707,55.4751802489815
12,379.454871423708,379.454871423708,63.2471132776586,0.267205120085279,62.9799081575733,0.267205120085279,62.9799081575733
13,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
14,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
15,385.686383710732,390.822913768984,63.2471132776586,0.0810166363626408,63.1660966412959,0.175643856246147,63.0714694214124
16,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
17,380.543907263964,385.812736361384,63.2471132776586,1.38775856017048,61.8593547174881,1.44720107220163,61.799912205457
18,379.853731321107,385.266455069343,63.2471132776586,1.5610675181555,61.6860457595031,1.58428513236745,61.6628281452911
19,384.129370075582,389.590436694781,63.2471132776586,0.479552747653919,62.7675605300047,0.490846043932372,62.7562672337262
20,376.656389920674,376.656389920674,63.2471132776586,0.979601073936777,62.2675122037218,0.979601073936777,62.2675122037218
21,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
22,383.615488630174,388.602069160638,63.2471132776586,0.610534123927714,62.6365791537309,0.742479461321309,62.5046338163373
23,385.99209059908,389.427638367731,63.2471132776586,0.0024706428982455,63.2446426347603,0.532363261322892,62.7147500163357
24,377.893191038737,377.893191038737,63.2471132776586,0.665753718398861,62.5813595592597,0.665753718398861,62.5813595592597
25,383.357770137806,388.797474763345,63.2471132776586,0.676120107303831,62.5709931703548,0.692810323864926,62.5543029537937
26,383.424983554171,388.402148248713,63.2471132776586,0.659021795075645,62.5880914825829,0.793255506475781,62.4538577711828
27,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
28,373.882874722775,379.347393948667,63.2471132776586,3.04027323617643,60.2068400414822,3.05026094514372,60.1968523325149
29,373.071568572425,375.998957791026,63.2471132776586,3.23850787409209,60.0086054035665,3.86408092011131,59.3830323575473
30,326.423460700413,331.382114651351,63.2471132776586,13.6039084043869,49.6432048732717,13.7141063508161,49.5330069268424
31,326.89224346485,331.944645199877,63.2471132776586,13.5092170767525,49.7378962009061,13.6007091471712,49.6464041304874
32,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
33,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
34,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
35,384.456363960021,388.57888906803,63.2471132776586,0.396063903828441,62.8510493738301,0.748368871649298,62.4987444060093
36,385.850385803617,391.064664741281,63.2471132776586,0.0388913274839169,63.2082219501747,0.113631321187455,63.1334819564711
37,385.686822667401,385.686822667401,63.2471132776586,0.0809039241507961,63.1662093535078,0.0809039241507961,63.1662093535078
38,385.477146519877,387.9957682885,63.2471132776586,0.134720203152476,63.1123930745061,0.896341053301008,62.3507722243576
39,379.012450920027,384.456812391712,63.2471132776586,1.77166355744931,61.4754497202093,1.78689810084097,61.4602151768176
40,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
41,385.674635154474,390.556757576906,63.2471132776586,0.0840332734329721,63.1630800042256,0.243846231250821,63.0032670464078
42,365.729869553522,366.711710590988,63.2471132776586,5.00296256953096,58.2441507081276,6.0641792552061,57.1829340224525
43,379.164523896412,382.712274632997,63.2471132776586,1.73364874107172,61.5134645365869,2.22120859979798,61.0259046778606
44,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
45,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
46,374.99103729425,374.99103729425,63.2471132776586,7.105427357601e-15,63.2471132776586,7.105427357601e-15,63.2471132776586
47,385.980489694048,389.853634643308,63.2471132776586,0.00545307295281106,63.2416602047058,0.423666531853009,62.8234467458056
48,375.580615787326,376.277490021072,63.2471132776586,2.62332546269135,60.6237878149672,3.79680671003295,59.4503065676256
49,385.025000234531,390.525248632991,63.2471132776586,0.250613803280643,62.9964994743779,0.251915496608923,62.9951977810497
50,379.436994753454,379.436994753454,63.2471132776586,0.27178166538436,62.9753316122742,0.27178166538436,62.9753316122742
